1544;CHOSHI-GYOKO;35.7444;140.8583
2118;CHRISTIANSTED HARBOUR;17.7500;-64.705
1371;CHRISTMAS ISLAND II;1.9833;-157.483
801;CHRISTMAS ISLAND;1.9833;-157.467
1588;CHUJADO;33.9617;126.3003
447;CHURCHILL;58.7667;-94.1833
528;CHUUK,  MOEN ISLAND;7.4467;151.8467
2199;CILACAP B;-7.7517;109.0167
796;CIUDAD DEL CARMEN;18.6333;-91.85
1020;CIUDAD MADERO;22.2500;-97.8
106;CIVITAVECCHIA;42.0500;11.8167
1638;CLEARWATER BEACH;27.9783;-82.8317
692;COATZACOALCOS;18.1500;-94.4167
438;COCHIN (WILLINGDON IS.);9.9667;76.2667
1530;COCO SOLO;9.3667;-79.8833
983;COCOS ISLAND (HOME IS.);-12.1167;96.8944
799;COFF'S HARBOUR;-30.3167;153.0833
2311;COFFS HARBOUR III;-30.3029;153.1461
2194;COLOMBO C;6.9350;79.8583
433;COLONIA;-34.4833;-57.85
181;COMODORO RIVADAVIA;-45.8667;-67.4833
630;COMOX;49.6667;-124.917
1301;CONCARNEAU;47.8737;-3.9074
379;CONSTANTZA;44.1667;28.6667
566;CORDOVA;60.5583;-145.752
1933;CORFU ( KERKYRA );39.6282;19.9053
1903;CORPUS CHRISTI, GULF MEXICO, TX;27.5833;-97.2167
2262;CORRAL II;-39.8783;-73.4228
1057;CORRAL;-39.8667;-73.4333
1476;COX'S BAZAAR;21.4500;91.8333
378;CRESCENT CITY;41.7450;-124.182
169;CRISTOBAL;9.3500;-79.9167
1632;CROMER;52.9344;1.3016
2120;CULEBRA;18.3017;-65.3033
2173;CURRIMAO ILOCOS NORTE;17.9833;120.4833
1524;CUTLER II;44.6417;-67.2967
1081;CUTLER;44.6500;-67.2167
7;CUXHAVEN 2;53.8667;8.7167
2039;DAESAN;37.0075;126.3528
1816;DAKAR 2;14.6833;-17.4167
476;DAKAR;14.6333;-17.45
1358;DALHOUSIE;48.0667;-66.3833
723;DALIAN;38.8667;121.6833
1475;DANANG;16.1000;108.2167
935;DARWIN;-12.4718;130.8459
37;DAUGAVGRIVA;57.0500;24.0333
1156;DAUPHIN ISLAND;30.2500;-88.075
537;DAVAO, DAVAO GULF;7.0833;125.6333
1182;DAYTONA BEACH SHORES;29.1467;-80.9633
270;DAYTONA BEACH;29.2333;-81
2277;DEAL;51.2238;1.4092
24;DELFZIJL;53.3264;6.9331
23;DEN HELDER;52.9644;4.7450
1541;DEPOE BAY;44.8100;-124.057
201;DESCHAILLONS;46.5667;-72.1
1118;DEVONPORT;-41.1847;146.3624
982;DEVONPORT;50.3684;-4.1853
543;DIAMOND HARBOUR;22.2000;88.1667
2190;DIEGO GARCIA D;-7.29;72.3933
1740;DIEGO GARCIA-C;-7.2833;72.4000
1785;DIEGO RAMIREZ;-56.5;-68.7167
474;DIEPPE;49.9291;1.0838
1230;DIGBY;44.6333;-65.75
611;DIKSON;73.5000;80.4000
1407;DONGFANG;19.1000;108.6167
2251;DONGHAE PORT;37.4947;129.1439
435;DOUGLAS;54.1500;-4.4667
255;DOVER;51.1144;1.3227
122;DRAGHALLAN;62.3667;17.5333
49;DUBLAT (SAUGOR IS.);21.6333;88.1333
432;DUBLIN;53.3500;-6.2167
760;DUBROVNIK;42.6583;18.0633
1636;DUCK PIER OUTSIDE;36.1833;-75.7467
640;DUNAI (DUNAI OSTROV);73.9333;124.5000
190;DUNBAR;56.0059;-2.5169
252;DUNEDIN;-45.8787;170.5134
468;DUNKERQUE;51.0481;2.3667
284;DURBAN;-29.8742;31.0508
390;DUTCH HARBOR;53.9000;-166.533
1642;DZAOUDZI;-12.7821;45.2582
1462;EASTER ISLAND-D;-27.15;-109.45
1272;EASTER ISLAND-E;-27.1547;-109.473
332;EASTPORT;44.9033;-66.9817
833;EDEN;-37.0737;149.9077
516;EDITHBURG;-35.0833;137.7500
2148;EILAT NORTH;29.5447;34.9522
2149;EILAT SOUTH;29.5019;34.9178
2300;ELFIN COVE, PORT ALTHORP;58.1950;-136.347
665;ENEWETOK;11.3667;162.3500
1831;ENGLISH BAY (ASCENSION ISLAND);-7.8928;-14.3857
795;ENSENADA;31.8500;-116.633
1598;ERDEK;40.3833;27.8500
2009;ERDEMLI;36.5667;34.2500
1605;ESASHI;41.8667;140.1333
80;ESBJERG;55.4608;8.4411
1114;ESPERANCE;-33.8709;121.8954
2209;ESPERANZA, VIEQUES;18.0933;-65.4717
440;EUGENE ISLAND;29.3717;-91.385
1229;EVANS HEAD;-29.1167;153.4333
531;EVENSKJAER;68.5833;16.5500
1762;EXMOUTH;-21.9549;114.1409
436;FAMAGUSTA;35.1167;33.9500
1361;FANNING-B;3.9000;-159.383
601;FEDOROVA (CHELUSKIN MYS);77.7167;104.3000
214;FELIXSTOWE;51.9577;1.3466
112;FERNANDINA BEACH;30.6717;-81.465
2053;FERROL 2;43.4762;-8.2485
1731;FISHGUARD II;52.0132;-4.9838
939;FISHGUARD;52.0132;-4.9838
249;FOGLO / DEGERBY;60.0319;20.3848
389;FORCADOS;5.3500;5.3500
2060;FORMENTERA;38.7347;1.4190
2103;FORSMARK;60.4086;18.2108
1106;FORT MYERS;26.6467;-81.87
444;FORT PHRACHULA CHOMKLAO (POM PHRACHUN);13.5500;100.5833
2321;FORT POINT,  NEW HAMPSHIRE;43.0717;-70.71
2291;FORT POINT, NEWCASTLE ISLAND;43.0717;-70.7117
395;FORT PULASKI;32.0333;-80.9017
1942;FORT-DE-FRANCE II;14.6015;-61.0632
559;FORTALEZA;-3.7167;-38.4833
2234;FOS SUR MER;43.4049;4.8929
402;FRANKLIN HARBOR;-33.6833;136.9333
81;FREDERICIA;55.5608;9.7544
91;FREDERIKSHAVN;57.4364;10.5489
725;FREEPORT;28.9483;-95.3083
111;FREMANTLE;-32.0558;115.7394
2192;FRENCH FRIGATE SHOALS B;23.8683;-166.288
1372;FRENCH FRIGATE SHOALS;23.8667;-166.283
384;FRIDAY HARBOR (OCEAN. LABS.);48.5467;-123.01
2048;FUERTEVENTURA;28.4925;-13.8582
1101;FUKUE;32.6961;128.8494
688;FULFORD HARBOUR;48.7667;-123.45
1839;FUNAFUTI B;-8.5025;179.1952
1452;FUNAFUTI;-8.5333;179.2167
2024;FUNCHAL B;32.6511;-17.1178
1030;FUNCHAL;32.6440;-16.9131
203;FURUOGRUND;64.9158;21.2306
1197;FYNSHAV;54.9950;9.9869
1445;GADEOKDO;35.0247;128.8108
828;GALVESTON I, PLEASURE PIER, TX;29.2850;-94.7883
161;GALVESTON II, PIER 21, TX;29.3100;-94.7933
1707;GAN II;-0.6833;73.1500
2058;GANDIA;38.9952;-0.1514
2252;GANGHWA BRIDGE;37.7319;126.5222
1369;GANGRA;21.9500;88.0167
369;GARDEN REACH;22.5500;88.3000
2214;GARIBALDI II;45.5550;-123.918
1285;GARIBALDI;45.5533;-123.918
1577;GAZENICA;44.0833;15.2667
64;GDANSK/NOWY PORT;54.4000;18.6833
364;GDYNIA;54.5333;18.5500
120;GEDSER;54.5728;11.9256
648;GEIBERGA (GEIBERGA OSTROV);77.6000;101.5167
1721;GENERAL DYNAMICS PIER;33.0167;-79.9167
2090;GENOVA II;44.4101;8.9255
59;GENOVA;44.4000;8.9000
2040;GEOJEDO;34.8014;128.6992
1546;GEOMUNDO;34.0283;127.3092
1031;GERALDTON;-28.776;114.6019
1703;GETING;6.2264;102.1067
563;GIBARA;21.1083;-76.125
981;GIBRALTAR;36.1483;-5.3649
