id lat lon provider
STEF00GRC 39.4642 22.7426 INGV|SGO-EPND|UGA-CNRS
STRF00GRC 37.2454 21.0156 INGV|SGO-EPND|UGA-CNRS
PITR00POL 51.4017 19.6909 INGV|SGO-EPND|UGA-CNRS
SBL000BLM 17.9136 -62.8497 UGA-CNRS
DOEL00BEL 51.3218 4.25 INGV|UGA-CNRS
ALB100SWE 65.674 21.0069 INGV|SGO-EPND|UGA-CNRS
PLAN00ESP 41.4185 1.9869 INGV|SGO-EPND|UGA-CNRS
CAMA00FRA 43.3962 6.3327 INGV
LECO00ITA 45.8489 9.3966 SGO-EPND|UGA-CNRS
DROI00GBR 52.2553 -2.1546 INGV|UGA-CNRS
MANT00ITA 45.1601 10.7894 INGV|SGO-EPND|UGA-CNRS
ESTE00ESP 42.6515 -2.0244 INGV|SGO-EPND|UGA-CNRS
ARLO00BEL 49.652 5.8191 INGV|SGO-EPND|UGA-CNRS
MARP00UKR 47.0974 37.4979 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
UGA200EST 58.3618 25.5878 INGV|SGO-EPND|UGA-CNRS
LBIB00GRL 75.8938 -23.8529 INGV
BRMG00DEU 47.9077 7.6329 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
POBU00FRA 46.3828 4.1603 INGV
SULN00ROU 45.148 29.7589 INGV
MESS00ITA 38.2046 15.5544 INGV|UGA-CNRS
GUAR00ITA 41.7944 13.3122 INGV|SGO-EPND|UGA-CNRS
PLG100PRT 39.2905 -7.4317 UGA-CNRS
BRUR00NOR 60.4921 6.894 INGV|UGA-CNRS
MIRA00PRT 41.5168 -7.1862 INGV|SGO-EPND|UGA-CNRS
JATE00ITA 41.7911 16.0501 INGV|UGA-CNRS
BUCI00GBR 51.9954 -1.0166 INGV|SGO-EPND|UGA-CNRS
CADG00ITA 42.0129 14.0364 INGV|UGA-CNRS
CAGI00ITA 37.2068055739176 14.5140559010125 SGO-EPND
PLGR00PRT 39.2909 -7.4329 INGV|SGO-EPND|UGA-CNRS
CAHU00MDA 45.905558967951 28.1946975953741 SGO-EPND
JOUX00FRA 46.5286 5.7957 INGV|SGO-EPND|UGA-CNRS
CALR00ROU 44.2051244366578 27.3134012017425 SGO-EPND
AIO200ESP 39.0614 -1.0592 INGV|SGO-EPND|UGA-CNRS
REUS00ESP 41.17 1.1685 INGV|SGO-EPND|UGA-CNRS
CAM100ROU 46.3634053077261 23.0496557815612 SGO-EPND
RONL00ESP 42.81 -0.9547 INGV|SGO-EPND|UGA-CNRS
DLF100NLD 51.986 4.3875 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
AIRM00ESP 37.8065 -1.1286 INGV|SGO-EPND|UGA-CNRS
DSRG00REU -21.2494 55.7155 INGV|UGA-CNRS
DSTG00ITA 41.1095 16.8803 INGV|SGO-EPND|UGA-CNRS
HLNI00ITA 37.3486 14.8719 INGV|SGO-EPND|UGA-CNRS
CHDY00FRA 49.7121 4.7638 INGV
HOFN00ISL 64.2673 -15.1979 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
IRAF00FRA 43.0335 -1.037 INGV|SGO-EPND|UGA-CNRS
LZ0200ESP 28.9733 -13.5275 INGV|SGO-EPND|UGA-CNRS
MRAT00ESP 38.2475 -1.9988 INGV|SGO-EPND|UGA-CNRS
SRMG00FRA 44.6729 0.4536 INGV
VILD00FRA 45.0732 5.5457 INGV
ASF000GLP 16.2573 -61.2633 UGA-CNRS
DUB200HRV 42.6502 18.1103 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
RIOJ00ESP 42.4579 -2.5021 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
PIED00PRT 38.4138 -28.0325 INGV|SGO-EPND|UGA-CNRS
UTI100ESP 39.5638 -1.2153 INGV|SGO-EPND|UGA-CNRS
DUMG00ATA -66.6652 140.0022 INGV|UGA-CNRS
UTIE00ESP 39.5687 -1.2086 INGV|SGO-EPND|UGA-CNRS
ECNV00ITA 37.5956 14.7125 INGV|SGO-EPND|UGA-CNRS
ASGA00CYP 34.786 33.2488 INGV|UGA-CNRS
ASIR00ITA 41.8547 12.618 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
VLSG00ITA 38.2244 15.6415 INGV|SGO-EPND|UGA-CNRS
FAVR00ITA 37.267 13.667 INGV|SGO-EPND|UGA-CNRS
WLDW00POL 51.5453 23.5572 INGV|SGO-EPND|UGA-CNRS
XIXO00ESP 43.5701 -5.7019 INGV|SGO-EPND|UGA-CNRS
ATCC00ITA 43.1838 12.6433 INGV|SGO-EPND|UGA-CNRS
FRUL00ITA 40.8779 14.2253 INGV|SGO-EPND|UGA-CNRS
PTKG00GRC 36.4213 22.4895 INGV|SGO-EPND|UGA-CNRS
RGAR00ITA 41.6589 15.6026 INGV|UGA-CNRS
GRAJ00POL 53.651 22.4523 INGV|SGO-EPND|UGA-CNRS
HERR00ESP 39.1814 -5.05 INGV|SGO-EPND|UGA-CNRS
HETT00FIN 68.4067 23.6653 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
RGOR00ITA 45.9433 13.6238 INGV|SGO-EPND|UGA-CNRS
RIGA00LVA 56.9486 24.0588 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
ATFO00ITA 43.3701 12.5671 INGV|SGO-EPND|UGA-CNRS
BRJA00ESP 41.8349 -1.5262 INGV|SGO-EPND|UGA-CNRS
HIST00ROU 44.5471 28.7702 INGV|UGA-CNRS
CFRM00CZE 49.6848 18.3532 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
CHAG00REU -21.2328 55.7004 INGV|UGA-CNRS
WRKI00POL 52.7055 16.3711 INGV|SGO-EPND|UGA-CNRS
ZWEV00BEL 50.8231 3.3456 INGV|SGO-EPND|UGA-CNRS
PRAE00GBR 50.2029 -3.7203 INGV|SGO-EPND|UGA-CNRS
RIVE00ITA 40.048 15.702 INGV|UGA-CNRS
AEGY00ROU 45.1864 28.8151 INGV
ENAV00ITA 40.5823 14.3349 INGV|SGO-EPND|UGA-CNRS
CELL00ITA 38.2603 15.8939 INGV|UGA-CNRS
RIVG00REU -21.2537 55.7013 INGV|UGA-CNRS
FRNE00ITA 41.6448 13.3009 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
GALH00ITA 37.9396 14.0203 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
RMOG00ITA 46.4067 13.1983 INGV|SGO-EPND|UGA-CNRS
RNI200ITA 41.7035 14.1527 INGV|SGO-EPND|UGA-CNRS
GUIJ00ESP 40.5467 -5.6778 INGV|SGO-EPND|UGA-CNRS
AMUR00ITA 40.9073 16.604 INGV|UGA-CNRS
RUSB00FRA 43.9382 5.4783 INGV|SGO-EPND|UGA-CNRS
ANCN00ITA 43.6072 13.5316 INGV|SGO-EPND|UGA-CNRS
SVTO00ITA 40.6044 16.4405 INGV|SGO-EPND|UGA-CNRS
KIRW00GBR 58.9534 -2.9016 INGV|SGO-EPND|UGA-CNRS
KIVI00EST 59.3577 26.974 INGV|UGA-CNRS
TDB000GLP 15.855 -61.6354 UGA-CNRS
LUGO00ESP 42.9931 -7.5447 INGV|SGO-EPND|UGA-CNRS
LYC100SWE 64.6273 18.6672 INGV|SGO-EPND|UGA-CNRS
ATLO00ITA 43.3151 12.4071 INGV|SGO-EPND|UGA-CNRS
ATTE00ITA 43.1998 12.3505 INGV|SGO-EPND|UGA-CNRS
CCEX00ESP 39.4723 -6.3779 INGV|SGO-EPND|UGA-CNRS
LZ0100ESP 29.2236 -13.4523 INGV|SGO-EPND|UGA-CNRS
MGBU00ITA 45.9041 11.7813 INGV|SGO-EPND|UGA-CNRS
TGMS00ROU 46.5283 24.5224 INGV|SGO-EPND|UGA-CNRS
MKRS00UKR 48.3787 22.7093 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
CDRU00ITA 40.4897 15.3047 INGV|SGO-EPND|UGA-CNRS
CERA00ITA 41.5977 14.018 INGV|SGO-EPND|UGA-CNRS
CNIV00UKR 51.5189 31.3136 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
TIT200DEU 51.0352 6.4316 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
VDGO00ESP 42.5159 -4.0105 INGV|SGO-EPND|UGA-CNRS
EBRE00ESP 40.8209 0.4923 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
ENAO00PRT 39.0912 -28.026 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
RICM00GBR 54.4129 -1.7364 UGA-CNRS
