# Events file v1.0
#
# DATE            : 2025-04-02 at 20:58:13 (UTC)
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake)
# DESCRIPTION     : CHANGE events are taken from SPOTGINS station_file.dat
#                 : EQ events comes from the PyTRF Python librairy (P. Rebischung), based on Metivier et. al, 2014 model
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE DESCRIPTION
MARS00FRA 54397.0000 200710240000 CHANGE Receiver change
MARS00FRA 54649.0000 200807020000 CHANGE Receiver change
MARS00FRA 54908.0000 200903180000 CHANGE Antenna & Radome change
MARS00FRA 54962.0000 200905110000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 55487.2500 201010180600 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 55643.5000 201103231200 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 55726.3333 201106140800 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 55846.5417 201110121300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 56196.5417 201209261300 CHANGE Receiver, Antenna & Radome change
MARS00FRA 56449.5000 201306061200 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 56580.4167 201310151000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 56708.3750 201402200900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 56922.3750 201409220900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 56968.4167 201411071000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 56974.4167 201411131000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 57220.6250 201507171500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 57567.0000 201606280000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 57701.4167 201611091000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 57967.4167 201708021000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
