# Offset file v1.0
#
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake) or UNK (unknown)
# DN/SN           : Estimated north offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DE/SE           : Estimated east offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DU/SU           : Estimated height offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DESCRIPTION     : Free format comment [Optional]
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE ______DN ______SN ______DE ______SE ______DU ______SU DESCRIPTION
BACT00FRA 55022.0000 200907100000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
BACT00FRA 55098.0000 200909240000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BACT00FRA 58284.4306 201806151020 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BANN00FRA 53409.4403 200502081034 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BANN00FRA 53562.5417 200507111300 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BANN00FRA 53569.3868 200507180917 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BANN00FRA 53626.3743 200509130859 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BANN00FRA 53944.4382 200607281031 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BANN00FRA 54728.4035 200809190941 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BANN00FRA 55853.4819 201110191134 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BANN00FRA 56062.4167 201205151000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BANN00FRA 56088.5722 201206101344 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BANN00FRA 56608.4007 201311120937 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BANN00FRA 57505.4014 201604270938 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BANN00FRA 59617.5465 202202071307 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BARY00FRA 55161.6667 200911261600 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
BARY00FRA 57904.4792 201705311130 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BARY00FRA 57996.3993 201708310935 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BEAU00FRA 55405.2500 201007280600 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BEAV00FRA 57799.6667 201702151600 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BEAV00FRA 57996.4813 201708311133 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BLFT00FRA 55467.4583 201009281100 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
BLFT00FRA 56280.4583 201212191100 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
BLG200FRA 58394.6979 201810031645 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
BLIX00FRA 57882.4521 201705091051 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver & Antenna change
BLIX00FRA 58576.6174 201904031449 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
